Fecha,Grupo,Producto,Mercado,Precio_kg
mar-13,FRUTAS,Fresa,"Manizales, Centro Galerías",3733.0
mar-13,FRUTAS,Granadilla,"Manizales, Centro Galerías",2622.0
mar-13,FRUTAS,Guanábana,"Manizales, Centro Galerías",1854.0
mar-13,FRUTAS,Guayaba agria,"Manizales, Centro Galerías",2162.0
mar-13,FRUTAS,Guayaba manzana,"Manizales, Centro Galerías",1582.0
mar-13,FRUTAS,Guayaba pera,"Manizales, Centro Galerías",994.0
mar-13,FRUTAS,Kiwi,"Manizales, Centro Galerías",6949.0
mar-13,FRUTAS,Limón Tahití,"Manizales, Centro Galerías",718.0
mar-13,FRUTAS,Lulo,"Manizales, Centro Galerías",1854.0
mar-13,FRUTAS,Mandarina Oneco,"Manizales, Centro Galerías",1401.0
mar-13,FRUTAS,Mango Tommy,"Manizales, Centro Galerías",1470.0
mar-13,FRUTAS,Manzana roja importada,"Manizales, Centro Galerías",3359.0
mar-13,FRUTAS,Manzana royal gala importada,"Manizales, Centro Galerías",3303.0
mar-13,FRUTAS,Manzana verde importada,"Manizales, Centro Galerías",4098.0
mar-13,FRUTAS,Maracuyá,"Manizales, Centro Galerías",1931.0
mar-13,FRUTAS,Melón Cantalup,"Manizales, Centro Galerías",1357.0
mar-13,FRUTAS,Mora de Castilla,"Manizales, Centro Galerías",2381.0
mar-13,FRUTAS,Naranja Valencia,"Manizales, Centro Galerías",550.0
mar-13,FRUTAS,Papaya Maradol,"Manizales, Centro Galerías",1186.0
mar-13,FRUTAS,Pera importada,"Manizales, Centro Galerías",2925.0
mar-13,FRUTAS,Piña gold,"Manizales, Centro Galerías",1700.0
mar-13,FRUTAS,Tangelo,"Manizales, Centro Galerías",1530.0
mar-13,FRUTAS,Tomate de árbol,"Manizales, Centro Galerías",1190.0
mar-13,FRUTAS,Uva red globe nacional,"Manizales, Centro Galerías",2960.0
mar-13,GRANOS Y CEREALES,Arroz de primera,"Manizales, Centro Galerías",2400.0
mar-13,GRANOS Y CEREALES,Arveja verde seca importada,"Manizales, Centro Galerías",1879.0
mar-13,GRANOS Y CEREALES,Fríjol cargamanto rojo,"Manizales, Centro Galerías",4667.0
mar-13,GRANOS Y CEREALES,Lenteja importada,"Manizales, Centro Galerías",1770.0
mar-13,GRANOS Y CEREALES,Maíz amarillo cáscara,"Manizales, Centro Galerías",973.0
mar-13,GRANOS Y CEREALES,Maíz blanco trillado,"Manizales, Centro Galerías",1230.0
mar-13,LACTEOS Y HUEVOS,Huevo blanco A,"Manizales, Centro Galerías",208.0
mar-13,LACTEOS Y HUEVOS,Huevo blanco AA,"Manizales, Centro Galerías",222.0
mar-13,LACTEOS Y HUEVOS,Huevo blanco extra,"Manizales, Centro Galerías",249.0
mar-13,LACTEOS Y HUEVOS,Queso campesino,"Manizales, Centro Galerías",6550.0
mar-13,LACTEOS Y HUEVOS,Queso costeño,"Manizales, Centro Galerías",8700.0
mar-13,PESCADOS,Bocachico importado congelado,"Manizales, Centro Galerías",6400.0
mar-13,PESCADOS,Trucha en corte mariposa,"Manizales, Centro Galerías",1200.0
mar-13,PROCESADOS,Azúcar sulfitada,"Manizales, Centro Galerías",1497.0
mar-13,PROCESADOS,Café molido,"Manizales, Centro Galerías",1537.5
mar-13,PROCESADOS,Chocolate amargo,"Manizales, Centro Galerías",1689.9999999999998
mar-13,PROCESADOS,Gelatina,"Manizales, Centro Galerías",9277.0
mar-13,PROCESADOS,Harina de trigo,"Manizales, Centro Galerías",1883.0
mar-13,PROCESADOS,Harina precocida de maíz,"Manizales, Centro Galerías",2844.0
mar-13,PROCESADOS,Manteca,"Manizales, Centro Galerías",4300.0
mar-13,PROCESADOS,Margarina,"Manizales, Centro Galerías",8558.0
mar-13,PROCESADOS,Panela redonda morena,"Manizales, Centro Galerías",1764.0
mar-13,PROCESADOS,Sal yodada,"Manizales, Centro Galerías",800.0
mar-13,PROCESADOS,Sardinas en lata,"Manizales, Centro Galerías",6165.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Arracacha blanca,"Manizales, Centro Galerías",1233.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Papa capira,"Manizales, Centro Galerías",553.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Papa criolla limpia,"Manizales, Centro Galerías",1580.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Papa R-12 negra,"Manizales, Centro Galerías",553.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Papa única,"Manizales, Centro Galerías",528.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón maduro,"Manizales, Centro Galerías",683.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón verde,"Manizales, Centro Galerías",683.0
mar-13,"TUBERCULOS, RAICES Y PLATANOS",Yuca ICA,"Manizales, Centro Galerías",1152.0
mar-13,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",737.0
mar-13,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",3799.0
mar-13,VERDURAS Y HORTALIZAS,Apio,"Manizales, Centro Galerías",909.0
mar-13,VERDURAS Y HORTALIZAS,Arveja verde en vaina,"Manizales, Centro Galerías",2726.0
mar-13,VERDURAS Y HORTALIZAS,Berenjena,"Manizales, Centro Galerías",2000.0
mar-13,VERDURAS Y HORTALIZAS,Brócoli,"Manizales, Centro Galerías",3653.0
mar-13,VERDURAS Y HORTALIZAS,Cebolla cabezona blanca,"Manizales, Centro Galerías",674.0
mar-13,VERDURAS Y HORTALIZAS,Cebolla junca,"Manizales, Centro Galerías",1046.0
mar-13,VERDURAS Y HORTALIZAS,Chócolo mazorca,"Manizales, Centro Galerías",485.0
mar-13,VERDURAS Y HORTALIZAS,Cilantro,"Manizales, Centro Galerías",3467.0
mar-13,VERDURAS Y HORTALIZAS,Coliflor,"Manizales, Centro Galerías",2081.0
mar-13,VERDURAS Y HORTALIZAS,Espinaca,"Manizales, Centro Galerías",2964.0
mar-13,VERDURAS Y HORTALIZAS,Fríjol verde en vaina,"Manizales, Centro Galerías",2013.0
mar-13,VERDURAS Y HORTALIZAS,Habichuela,"Manizales, Centro Galerías",1951.0
mar-13,VERDURAS Y HORTALIZAS,Lechuga Batavia,"Manizales, Centro Galerías",2318.0
mar-13,VERDURAS Y HORTALIZAS,Pepino cohombro,"Manizales, Centro Galerías",975.0
mar-13,VERDURAS Y HORTALIZAS,Perejil,"Manizales, Centro Galerías",3600.0
mar-13,VERDURAS Y HORTALIZAS,Pimentón,"Manizales, Centro Galerías",1561.0
mar-13,VERDURAS Y HORTALIZAS,Remolacha,"Manizales, Centro Galerías",697.0
mar-13,VERDURAS Y HORTALIZAS,Repollo verde,"Manizales, Centro Galerías",764.0
